id,function,function_num
WP_000006821.1 MULTISPECIES: 1-deoxy-D-xylulose-5-phosphate synthase [Enterobacteriaceae],dna_rna_and_nucleotide_metabolism,4
WP_000007095.1 ATP-dependent RNA helicase RhlE [Escherichia coli],unknown_function,9
WP_000007283.1 MULTISPECIES: superoxide dismutase [Fe] [Enterobacteriaceae],no_hit,11
WP_000007440.1 NadS family protein [Escherichia coli],transcription_regulation,7
WP_000007449.1 MULTISPECIES: tellurite resistance TerB family protein [Gammaproteobacteria],no_hit,11
WP_000007629.1 MULTISPECIES: preprotein translocase subunit YajC [Gammaproteobacteria],lysis,1
WP_000008211.1 5'-deoxynucleotidase [Escherichia coli],other,6
WP_000008235.1 MULTISPECIES: 5'-deoxynucleotidase [Enterobacteriaceae],other,6
WP_000008967.1 As(III)-sensing metalloregulatory transcriptional repressor ArsR [Escherichia coli],lysis,1
WP_000009307.1 MULTISPECIES: DUF2158 domain-containing protein [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000010147.1 23S rRNA (guanine(745)-N(1))-methyltransferase [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000010271.1 propionate--CoA ligase [Escherichia coli],no_hit,11
WP_000010422.1 SDR family oxidoreductase [Escherichia coli],no_hit,11
WP_000010739.1 nitric oxide reductase transcriptional regulator NorR [Escherichia coli],other,6
WP_000011108.1 MULTISPECIES: cytochrome b [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000011613.1 MULTISPECIES: 3-deoxy-manno-octulosonate cytidylyltransferase [Enterobacteriaceae],no_hit,11
WP_000011656.1 carbon-nitrogen hydrolase family protein YobB [Escherichia coli],no_hit,11
WP_000011970.1 carbohydrate kinase family protein [Escherichia coli],no_hit,11
WP_000012163.1 MULTISPECIES: guanine/hypoxanthine transporter GhxQ [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000012247.1 guanine deaminase [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000012257.1 ABC transporter permease [Escherichia coli],no_hit,11
WP_000012572.1 YjfK family protein [Escherichia coli],no_hit,11
WP_000012925.1 ornithine carbamoyltransferase [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000013046.1 MULTISPECIES: aspartate carbamoyltransferase [Enterobacteriaceae],no_hit,11
"WP_000013136.1 2,5-didehydrogluconate reductase DkgA [Escherichia coli]",dna_rna_and_nucleotide_metabolism,4
WP_000013477.1 MULTISPECIES: hypothetical protein [Escherichia],unknown_function,9
WP_000013513.1 MULTISPECIES: quinol dehydrogenase ferredoxin subunit NapH [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000013588.1 MULTISPECIES: lactaldehyde reductase [Enterobacteriaceae],no_hit,11
WP_000013738.1 VOC family protein [Escherichia coli],no_hit,11
WP_000014036.1 MULTISPECIES: Re/Si-specific NAD(P)(+) transhydrogenase subunit beta [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000014216.1 hypothetical protein [Escherichia coli],no_hit,11
WP_000014320.1 MULTISPECIES: secA translation cis-regulator SecM [Enterobacteriaceae],no_hit,11
WP_000014370.1 MULTISPECIES: hypothetical protein [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000014594.1 MULTISPECIES: RNA chaperone/antiterminator CspA [Bacteria],other,6
WP_000015473.1 phage tail tube protein [Escherichia coli],connector,3
WP_000015492.1 nitrous oxide-stimulated promoter family protein [Escherichia coli],transcription_regulation,7
WP_000015617.1 hypothetical protein [Escherichia coli],no_hit,11
WP_000015802.1 L-methionine/branched-chain amino acid transporter [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000016225.1 primase-helicase zinc-binding domain-containing protein [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000016907.1 MULTISPECIES: N-acetylmuramoyl-L-alanine amidase AmiC [Enterobacteriaceae],no_hit,11
WP_000016989.1 site-specific integrase [Escherichia coli],integration_and_excision,10
WP_000017110.1 Holliday junction resolvase RuvX [Escherichia coli],connector,3
WP_000017339.1 hypothetical protein [Escherichia coli],transcription_regulation,7
WP_000017561.1 hypothetical protein [Escherichia coli],unknown_function,9
WP_000017595.1 DUF2569 domain-containing protein [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000017703.1 MULTISPECIES: Ni/Fe-hydrogenase cytochrome b subunit [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000018008.1 MULTISPECIES: DNA-binding transcriptional regulator NfeR [Escherichia],no_hit,11
WP_000018366.1 MFS transporter [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000018588.1 MULTISPECIES: phenylalanine--tRNA ligase subunit alpha [Enterobacteriaceae],no_hit,11
WP_000018633.1 MULTISPECIES: DUF2526 family protein YdcY [Enterobacterales],transcription_regulation,7
WP_000018678.1 23S rRNA (guanine(1835)-N(2))-methyltransferase RlmG [Escherichia coli],other,6
WP_000018760.1 MULTISPECIES: NADP(+)-dependent aldehyde reductase [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000019197.1 MULTISPECIES: putrescine/proton symporter PlaP [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000019358.1 MULTISPECIES: superoxide response transcriptional regulator SoxS [Gammaproteobacteria],no_hit,11
WP_000019588.1 MULTISPECIES: carboxy-S-adenosyl-L-methionine synthase CmoA [Enterobacteriaceae],no_hit,11
WP_000019652.1 amino acid ABC transporter permease [Escherichia coli],no_hit,11
WP_000019827.1 MULTISPECIES: nitrate transporter NarK [Enterobacteriaceae],no_hit,11
WP_000019869.1 MULTISPECIES: cytochrome o ubiquinol oxidase subunit IV [Gammaproteobacteria],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000019944.1 MULTISPECIES: Ni(II)/Co(II)-binding transcriptional repressor RcnR [Gammaproteobacteria],no_hit,11
WP_000020049.1 MULTISPECIES: heme utilization cystosolic carrier protein HutX [Enterobacteriaceae],other,6
WP_000020078.1 MULTISPECIES: voltage-gated potassium channel protein [Enterobacteriaceae],unknown_function,9
WP_000020246.1 3-hydroxy-fatty acyl-ACP dehydratase [Escherichia coli],no_hit,11
WP_000020556.1 MULTISPECIES: DnaT-like ssDNA-binding domain-containing protein [Escherichia],dna_rna_and_nucleotide_metabolism,4
WP_000020744.1 GTPase Era [Escherichia coli],no_hit,11
WP_000020884.1 MULTISPECIES: flagellar biosynthesis anti-sigma factor FlgM [Gammaproteobacteria],no_hit,11
WP_000020947.1 glutamate/aspartate ABC transporter permease GltJ [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000021035.1 sulfate/thiosulfate ABC transporter ATP-binding protein CysA [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000021256.1 hypothetical protein [Escherichia coli],unknown_function,9
WP_000021347.1 MULTISPECIES: SDR family oxidoreductase [Enterobacteriaceae],no_hit,11
WP_000021666.1 MULTISPECIES: hypothetical protein [Enterobacteriaceae],unknown_function,9
WP_000022442.1 MULTISPECIES: large-conductance mechanosensitive channel protein MscL [Enterobacterales],lysis,1
WP_000022458.1 MULTISPECIES: type III secretion system effector ADP-ribosyltransferase EspJ [Escherichia],transcription_regulation,7
WP_000022766.1 MULTISPECIES: tagatose-bisphosphate aldolase subunit KbaY [Enterobacterales],no_hit,11
WP_000023081.1 MULTISPECIES: type I pantothenate kinase [Enterobacteriaceae],no_hit,11
WP_000023640.1 ankyrin repeat domain-containing protein [Escherichia coli],no_hit,11
WP_000023931.1 LutB/LldF family L-lactate oxidation iron-sulfur protein [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000024297.1 MULTISPECIES: diacylglycerol kinase [Enterobacteriaceae],lysis,1
WP_000024392.1 MULTISPECIES: glutaredoxin 3 [Enterobacteriaceae],dna_rna_and_nucleotide_metabolism,4
WP_000024560.1 MULTISPECIES: chaperone modulator CbpM [Gammaproteobacteria],no_hit,11
WP_000024633.1 MULTISPECIES: LysR substrate-binding domain-containing protein [Enterobacteriaceae],no_hit,11
WP_000024742.1 DUF533 domain-containing protein [Escherichia coli],unknown_function,9
WP_000024883.1 multidrug efflux pump RND permease MdtF [Escherichia coli],no_hit,11
WP_000025458.1 MULTISPECIES: succinate--CoA ligase subunit alpha [Enterobacteriaceae],no_hit,11
WP_000025873.1 UDP-forming cellulose synthase catalytic subunit [Escherichia coli],no_hit,11
WP_000026069.1 MULTISPECIES: uroporphyrinogen-III synthase [Enterobacteriaceae],no_hit,11
"WP_000026781.1 (2,3-dihydroxybenzoyl)adenylate synthase EntE [Escherichia coli]",no_hit,11
WP_000027205.1 MULTISPECIES: arginine ABC transporter ATP-binding protein ArtP [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000027427.1 ISAs1-like element ISEc26 family transposase [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000027563.1 MULTISPECIES: L-methionine sulfoximine/L-methionine sulfone acetyltransferase [Enterobacteriaceae],no_hit,11
WP_000027665.1 MULTISPECIES: DUF5405 family protein [Escherichia],dna_rna_and_nucleotide_metabolism,4
WP_000027708.1 MULTISPECIES: formate dehydrogenase accessory protein FdhE [Gammaproteobacteria],dna_rna_and_nucleotide_metabolism,4
WP_000028093.1 melibiose:sodium transporter MelB [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000028544.1 YciC family protein [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000028878.1 MULTISPECIES: 50S ribosomal protein L7/L12 [Gammaproteobacteria],no_hit,11
WP_000028953.1 MULTISPECIES: iron-sulfur cluster assembly protein IscA [Gammaproteobacteria],no_hit,11
WP_000029325.1 type I-E CRISPR-associated protein Cse2/CasB [Escherichia coli],no_hit,11
WP_000029463.1 vitamin B12 ABC transporter ATP-binding protein BtuD [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000029622.1 MULTISPECIES: anaerobic nitric oxide reductase flavorubredoxin [Enterobacteriaceae],no_hit,11
WP_000029651.1 flagellar hook assembly protein FlgD [Escherichia coli],tail,2
WP_000029813.1 MULTISPECIES: phosphoadenosine phosphosulfate reductase [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000030005.1 MULTISPECIES: 3-deoxy-manno-octulosonate-8-phosphatase KdsC [Enterobacteriaceae],no_hit,11
WP_000030527.1 LPS export ABC transporter periplasmic protein LptC [Escherichia coli],no_hit,11
WP_000030674.1 cell envelope integrity protein TolA [Escherichia coli],head_and_packaging,5
WP_000030901.1 MULTISPECIES: YfcZ/YiiS family protein [Enterobacteriaceae],no_hit,11
WP_000031415.1 MULTISPECIES: YqjD family protein [Gammaproteobacteria],transcription_regulation,7
"WP_000031661.1 MULTISPECIES: GTP-binding protein, partial [Enterobacterales]",no_hit,11
WP_000032691.1 MULTISPECIES: phosphoglycolate phosphatase [Enterobacteriaceae],other,6
WP_000032935.1 MULTISPECIES: nitrate reductase subunit alpha [Enterobacteriaceae],no_hit,11
WP_000033206.1 MULTISPECIES: transcriptional activator TdcR [Enterobacteriaceae],unknown_function,9
WP_000033336.1 MULTISPECIES: fimbrial protein [Enterobacteriaceae],tail,2
WP_000034372.1 MULTISPECIES: class II fructose-bisphosphate aldolase [Enterobacteriaceae],no_hit,11
WP_000034402.1 MULTISPECIES: cysteine synthase A [Enterobacteriaceae],no_hit,11
WP_000034602.1 MULTISPECIES: cyd operon protein YbgE [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000034825.1 MULTISPECIES: transcription antiterminator/RNA stability regulator CspE [Bacteria],other,6
WP_000035581.1 MULTISPECIES: ATP-dependent DNA helicase RecQ [Enterobacteriaceae],dna_rna_and_nucleotide_metabolism,4
WP_000035699.1 DNA polymerase II [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000036370.1 protein-glutamate methylesterase/protein glutamine deamidase [Escherichia coli],no_hit,11
WP_000036491.1 protein YjgL [Escherichia coli],unknown_function,9
WP_000036723.1 MULTISPECIES: phosphopyruvate hydratase [Enterobacteriaceae],head_and_packaging,5
WP_000037399.1 type VI secretion system contractile sheath small subunit [Escherichia coli],no_hit,11
WP_000037609.1 protein/nucleic acid deglycase [Escherichia coli],no_hit,11
WP_000038002.1 carbamate kinase [Escherichia coli],no_hit,11
WP_000038195.1 phage portal protein [Escherichia coli],head_and_packaging,5
WP_000038456.1 MULTISPECIES: PTS fructose transporter subunit IIB [Bacteria],no_hit,11
WP_000039084.1 recombination-promoting nuclease RpnA [Escherichia coli],no_hit,11
WP_000039701.1 FGGY-family carbohydrate kinase [Escherichia coli],no_hit,11
WP_000039864.1 phosphoadenosine phosphosulfate reductase [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000040152.1 purine nucleoside phosphorylase YfiH [Escherichia coli],no_hit,11
WP_000040369.1 nitrate reductase Z subunit alpha [Escherichia coli],no_hit,11
WP_000040660.1 Rz-like lysis system protein LysB [Escherichia coli],lysis,1
WP_000041704.1 selenate/tellurate reductase subunit YnfE [Escherichia coli],no_hit,11
WP_000041970.1 MULTISPECIES: small ribosomal subunit biogenesis GTPase RsgA [Enterobacteriaceae],dna_rna_and_nucleotide_metabolism,4
WP_000042038.1 MULTISPECIES: hypothetical protein [Enterobacteriaceae],no_hit,11
WP_000042351.1 MULTISPECIES: 3-isopropylmalate dehydrogenase [Escherichia],no_hit,11
WP_000042419.1 glutathione transferase [Escherichia coli],no_hit,11
WP_000042485.1 class I fumarate hydratase [Escherichia coli],no_hit,11
WP_000042533.1 MULTISPECIES: excinuclease ABC subunit UvrB [Gammaproteobacteria],no_hit,11
WP_000042632.1 MULTISPECIES: lipoyl synthase [Bacteria],dna_rna_and_nucleotide_metabolism,4
WP_000042873.1 MULTISPECIES: DUF2500 domain-containing protein [Enterobacteriaceae],no_hit,11
WP_000042916.1 MULTISPECIES: hypothetical protein [Escherichia],no_hit,11
WP_000043335.1 MULTISPECIES: ribosome maturation factor RimM [Enterobacteriaceae],no_hit,11
WP_000043478.1 NADP-dependent phosphogluconate dehydrogenase [Escherichia coli],no_hit,11
WP_000043869.1 MULTISPECIES: regulatory phage cox family protein [Enterobacteriaceae],no_hit,11
WP_000044031.1 Fe(3+)-hydroxamate ABC transporter permease FhuB [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000044300.1 acetaldehyde dehydrogenase [Escherichia coli],no_hit,11
WP_000044401.1 MULTISPECIES: glycine cleavage system transcriptional regulator GcvA [Enterobacteriaceae],integration_and_excision,10
WP_000044679.1 MULTISPECIES: beta-ketoacyl-ACP synthase II [Enterobacteriaceae],no_hit,11
WP_000044700.1 MULTISPECIES: type 1 fimbria switch DNA invertase FimE [Enterobacteriaceae],integration_and_excision,10
WP_000044757.1 molecular chaperone [Escherichia coli],no_hit,11
WP_000044848.1 dethiobiotin synthase [Escherichia coli],no_hit,11
WP_000045180.1 MULTISPECIES: uridine phosphorylase [Gammaproteobacteria],no_hit,11
"WP_000045277.1 glutamate-1-semialdehyde 2,1-aminomutase [Escherichia coli]",no_hit,11
WP_000045455.1 YbhN family protein [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000045648.1 MULTISPECIES: formate dehydrogenase-N subunit gamma [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000045739.1 MULTISPECIES: ADP compounds hydrolase NudE [Enterobacteriaceae],no_hit,11
WP_000045978.1 MULTISPECIES: xylose ABC transporter permease XylH [Enterobacteriaceae],tail,2
WP_000046287.1 inorganic triphosphatase [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000046637.1 MULTISPECIES: protein translocase subunit SecF [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000046664.1 multidrug/spermidine efflux SMR transporter subunit MdtI [Escherichia coli],lysis,1
WP_000046749.1 MULTISPECIES: energy-dependent translational throttle protein EttA [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000046824.1 23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD [Escherichia coli],no_hit,11
WP_000046901.1 phage head morphogenesis protein [Escherichia coli],head_and_packaging,5
WP_000047079.1 monofunctional biosynthetic peptidoglycan transglycosylase [Escherichia coli],no_hit,11
WP_000047193.1 alanine--tRNA ligase [Escherichia coli],no_hit,11
WP_000047432.1 putative ABC transporter substrate-binding protein YdcS [Escherichia coli],no_hit,11
WP_000047491.1 ATP-dependent RNA helicase RhlB [Escherichia coli],integration_and_excision,10
WP_000047539.1 MULTISPECIES: 2-iminobutanoate/2-iminopropanoate deaminase [Gammaproteobacteria],no_hit,11
"WP_000048190.1 MULTISPECIES: GDP-mannose 4,6-dehydratase [Enterobacteriaceae]",dna_rna_and_nucleotide_metabolism,4
WP_000048252.1 MULTISPECIES: acylphosphatase [Enterobacteriaceae],no_hit,11
"WP_000048431.1 hypothetical protein, partial [Escherichia coli]",no_hit,11
WP_000048659.1 type I glyceraldehyde-3-phosphate dehydrogenase [Escherichia coli],no_hit,11
WP_000048967.1 FMN-dependent NADH-azoreductase [Escherichia coli],no_hit,11
WP_000049213.1 MULTISPECIES: NADPH-nitrite reductase large subunit [Enterobacteriaceae],dna_rna_and_nucleotide_metabolism,4
WP_000049306.1 hypothetical protein [Escherichia coli],no_hit,11
WP_000049367.1 MULTISPECIES: 30S ribosomal protein S12 methylthiotransferase RimO [Enterobacteriaceae],dna_rna_and_nucleotide_metabolism,4
WP_000049432.1 hypothetical protein [Escherichia coli],no_hit,11
WP_000049865.1 MULTISPECIES: DUF1187 family protein [Enterobacteriaceae],no_hit,11
WP_000049966.1 MULTISPECIES: 3-hydroxyacyl-ACP dehydratase FabZ family protein [Enterobacteriaceae],no_hit,11
WP_000050139.1 MULTISPECIES: bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC [Enterobacteriaceae],no_hit,11
WP_000050244.1 lipid III flippase WzxE [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000050323.1 MULTISPECIES: citrate/succinate antiporter CitT [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000050781.1 nucleoid-associated protein YejK [Escherichia coli],no_hit,11
WP_000051143.1 MULTISPECIES: pleiotropic regulatory protein RsmS [Enterobacteriaceae],unknown_function,9
WP_000051572.1 muramoyltetrapeptide carboxypeptidase [Escherichia coli],no_hit,11
WP_000052201.1 methylisocitrate lyase [Escherichia coli],head_and_packaging,5
WP_000052468.1 Ig-like domain-containing protein [Escherichia coli],no_hit,11
WP_000052796.1 MULTISPECIES: alkyl hydroperoxide reductase subunit C [Enterobacteriaceae],no_hit,11
WP_000053083.1 MULTISPECIES: ABC transporter ATP-binding protein [Escherichia],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000053415.1 MULTISPECIES: galactokinase [Enterobacteriaceae],no_hit,11
WP_000055075.1 MULTISPECIES: inorganic diphosphatase [Enterobacteriaceae],no_hit,11
WP_000055132.1 MULTISPECIES: ECA oligosaccharide polymerase [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000055741.1 MULTISPECIES: acetyl-CoA carboxylase carboxyl transferase subunit alpha [Enterobacteriaceae],no_hit,11
WP_000055927.1 metalloprotease TldD [Escherichia coli],no_hit,11
WP_000055981.1 FMNH2-dependent alkanesulfonate monooxygenase [Escherichia coli],no_hit,11
WP_000056468.1 anion transporter [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000056545.1 crosslink repair DNA glycosylase YcaQ [Escherichia coli],integration_and_excision,10
WP_000056760.1 MULTISPECIES: 3-keto-L-gulonate-6-phosphate decarboxylase UlaD [Enterobacteriaceae],no_hit,11
WP_000056994.1 type VI secretion system contractile sheath large subunit [Escherichia coli],head_and_packaging,5
WP_000057080.1 dGTPase [Escherichia coli],integration_and_excision,10
WP_000057165.1 3-phosphoserine/phosphohydroxythreonine transaminase [Escherichia coli],no_hit,11
WP_000057377.1 hydrolase [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000057871.1 MULTISPECIES: protein-tyrosine-phosphatase Etp [Enterobacteriaceae],no_hit,11
WP_000057975.1 ABC transporter ATP-binding protein [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000058493.1 MULTISPECIES: colanic acid undecaprenyl disphosphate flippase WzxC [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000058995.1 YifB family Mg chelatase-like AAA ATPase [Escherichia coli],unknown_function,9
WP_000059116.1 chromosomal replication initiator protein DnaA [Escherichia coli],no_hit,11
WP_000059304.1 MULTISPECIES: FAD-binding oxidoreductase [Enterobacteriaceae],no_hit,11
WP_000059395.1 MULTISPECIES: cell division protein FtsP [Enterobacteriaceae],no_hit,11
WP_000059467.1 30S ribosomal protein S15 [Escherichia coli],integration_and_excision,10
WP_000059678.1 MULTISPECIES: DeoR/GlpR family DNA-binding transcription regulator [Enterobacteriaceae],no_hit,11
WP_000059900.1 phosphonate metabolism protein PhnP [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000060112.1 MULTISPECIES: DNA replication/repair protein RecF [Enterobacteriaceae],head_and_packaging,5
WP_000060465.1 MULTISPECIES: acid stress response transcriptional regulator YdeO [Enterobacteriaceae],no_hit,11
WP_000060506.1 MULTISPECIES: type I toxin-antitoxin system toxin TisB [Gammaproteobacteria],unknown_function,9
WP_000060930.1 autotransporter assembly complex protein TamB [Escherichia coli],tail,2
WP_000061178.1 MULTISPECIES: orphan toxin OrtT [Enterobacteriaceae],unknown_function,9
WP_000062312.1 MULTISPECIES: Rho-binding antiterminator [Enterobacteriaceae],unknown_function,9
WP_000062434.1 triphosphoribosyl-dephospho-CoA synthase CitG [Escherichia coli],no_hit,11
WP_000062596.1 DUF2686 family protein [Escherichia coli],no_hit,11
WP_000062611.1 MULTISPECIES: 30S ribosomal protein S8 [Gammaproteobacteria],no_hit,11
WP_000062967.1 MULTISPECIES: p-aminobenzoyl-glutamate transporter [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000062997.1 MULTISPECIES: NADH-quinone oxidoreductase subunit NuoA [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000063103.1 MULTISPECIES: head completion/stabilization protein [Enterobacteriaceae],no_hit,11
WP_000063125.1 MULTISPECIES: phosphate ABC transporter ATP-binding protein PstB [Enterobacteriaceae],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000063176.1 MULTISPECIES: type I-E CRISPR-associated endoribonuclease Cas2e [Enterobacteriaceae],no_hit,11
WP_000063233.1 major capsid protein [Escherichia coli],head_and_packaging,5
WP_000063625.1 hypothetical protein [Escherichia coli],unknown_function,9
WP_000063643.1 site-specific integrase [Escherichia coli],integration_and_excision,10
WP_000063969.1 MULTISPECIES: hydrogenase-1 operon protein HyaE [Enterobacteriaceae],no_hit,11
WP_000064252.1 methylmalonyl-CoA mutase [Escherichia coli],no_hit,11
WP_000064701.1 NADH:flavorubredoxin reductase NorW [Escherichia coli],head_and_packaging,5
WP_000065253.1 MULTISPECIES: 50S ribosomal protein L19 [Enterobacteriaceae],connector,3
WP_000065373.1 MULTISPECIES: DUF2528 family protein [Escherichia],no_hit,11
WP_000065430.1 MULTISPECIES: NADPH:quinone oxidoreductase MdaB [Gammaproteobacteria],no_hit,11
WP_000065683.1 urease subunit alpha [Escherichia coli],no_hit,11
WP_000065773.1 glutaredoxin-dependent arsenate reductase [Escherichia coli],no_hit,11
WP_000065950.1 MULTISPECIES: amino acid permease [Enterobacteriaceae],unknown_function,9
WP_000066490.1 MULTISPECIES: cold shock protein CspG [Gammaproteobacteria],other,6
WP_000066545.1 type 1 fimbria chaperone FimC [Escherichia coli],no_hit,11
WP_000066619.1 class I fumarate hydratase [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000066693.1 class I fumarate hydratase [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000067016.1 MULTISPECIES: flagellar biosynthesis protein FlhA [Escherichia],no_hit,11
WP_000067401.1 MULTISPECIES: formate hydrogenlyase subunit HycG [Enterobacteriaceae],no_hit,11
WP_000067727.1 MULTISPECIES: helix-turn-helix transcriptional regulator [Enterobacteriaceae],transcription_regulation,7
WP_000067755.1 MULTISPECIES: replication-associated recombination protein RarA [Enterobacteriaceae],no_hit,11
"WP_000067822.1 MULTISPECIES: carnitine monooxygenase, oxygenase subunit YeaW [Enterobacteriaceae]",dna_rna_and_nucleotide_metabolism,4
WP_000067950.1 MULTISPECIES: flagellar motor switch protein FliG [Enterobacteriaceae],head_and_packaging,5
WP_000068079.1 MULTISPECIES: thymidine kinase [Enterobacteriaceae],other,6
WP_000068457.1 MULTISPECIES: dihydroneopterin triphosphate 2'-epimerase [Enterobacteriaceae],transcription_regulation,7
WP_000068679.1 MULTISPECIES: trp operon repressor [Enterobacteriaceae],no_hit,11
